Plant name;Common name (English);Origin;Classification;Diameter;Height;Colors (leaf);Colors (flower);Colors (bract);Colors (fruit);Planting period;Growth period;Blooming period;Fruiting period;Tags;Sunlight;Watering;Fertilizing;Pruning;Soil;Soil moisture MIN (%);Soil moisture MAX (%);Soil conductivity MIN (μs/cm);Soil conductivity MAX (μs/cm);Soil PH MIN;Soil PH MAX;Temperature MIN (℃);Temperature MAX (℃);Humidity MIN (%RH);Humidity MAX (%RH);Light MIN (lux);Light MAX (lux);Light MIN (mmol);Light MAX (mmol);
Acer davidii;;China;Aceraceae,Acer;≥25;≥30;;147;;84,53;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer ginnala;;China;Aceraceae,Acer;≥25;≥30;;82;;59;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer glabrum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer griseum;;China;Aceraceae,Acer;≥25;≥30;;82;;53;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer macrophyllum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer maximowiczianum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer miyabei;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer mono;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer monspessulanum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer negundo;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer palmatum;;China;Aceraceae,Acer;≥25;≥30;56,146,106;96;;56,120;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer pensylvanicum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer platanoides;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer pseudoplatanus;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer rubrum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer rufinerve;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer saccharinum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer saccharum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer shirasawanum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer sieboldianum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer spicatum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer spp.;;China;Aceraceae,Acer;≥25;≥30;56;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer tataricum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer tegmentosum;;China;Aceraceae,Acer;≥25;≥30;;82;;53;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer triflorum;;China;Aceraceae,Acer;≥25;≥30;;82;;;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Acer truncatum;;China;Aceraceae,Acer;≥25;≥30;;82;;84,82,115;;;;4;8;;3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2800;75000;3000;7200
Achillea aegyptiaca;Egyptian yarrow;Eurasia temperate areas;Compositae,Achillea;≥10;15-20;;146,144,59;;;;;;5-10;;;2-3;4;0,64;1;19;15;60;350;2000;0;0;10;30;30;80;3700;20000;2000;4000
Achillea ageratum;sweet yarrow;Eurasia temperate areas;Compositae,Achillea;≥10;15-20;;144;;;;;;5-10;;;2-3;4;0,64;1;19;15;60;350;2000;0;0;10;30;30;80;3700;20000;2000;4000
Achillea clavennae;silvery yarrow;Eurasia temperate areas;Compositae,Achillea;≥10;15-20;;146,144,59;;;;;;5-10;;;2-3;4;0,64;1;19;15;60;350;2000;0;0;10;30;30;80;3700;20000;2000;4000
Achillea filipendulina;fernleaf yarrow;Eurasia temperate areas;Compositae,Achillea;≥10;15-20;;146,144,59;;;;;;5-10;;;2-3;4;0,64;1;19;15;60;350;2000;0;0;10;30;30;80;3700;20000;2000;4000
Achillea millefolium;;Eurasia temperate areas;Compositae,Achillea;≥10;15-20;;146,119,120,59;;;;;;5-10;;;2-3;4;0,64;1;19;15;60;350;2000;0;0;10;30;30;80;3700;20000;2000;4000
Achillea ptarmica;sneezewort;Eurasia temperate areas;Compositae,Achillea;≥10;15-20;;144;;;;;;5-10;;;2-3;4;0,64;1;19;15;60;350;2000;0;0;10;30;30;80;3700;20000;2000;4000
Achillea sibirica;;Eurasia temperate areas;Compositae,Achillea;≥10;15-20;;146,119,120,59;;;;;;5-10;;;2-3;4;0,64;1;19;15;60;350;2000;0;0;10;30;30;80;3700;20000;2000;4000
Achimenes spp.;;Mexico;Gesneriaceae,Achimenes;≥10;15-18;;120,114,144;;;;;;8-10;;;2-4;2,6;5,2;1;8;15;60;350;2000;0;0;8;35;30;80;3700;50000;3500;5000
Acmella oleracea;;South Africa;Asteraceae,Spilanthes;;40-80;;52,120;;;;;;summer;;;2-4;4;0,1;1;19;15;60;350;2000;0;0;5;35;30;80;3700;60000;4000;6000
Aconitum carmichaelii;;China;Ranunculaceae,Aconitum;≥20;20-30;;45,119;;;;;;9-10;10-11;;3-4;3;6,0;1;0;15;60;350;2000;0;0;10;35;30;80;3700;50000;3500;5000
Aconitum lycoctonum;;Eurasia;Ranunculaceae,Aconitum;;≥80;;119;;;;;;7;;;3-4;2,6;6,0;1;6;15;60;350;2000;0;0;8;32;30;80;3700;20000;2000;4000
Aconitum napellus;;China;Ranunculaceae,Aconitum;≥20;20-30;;61,45,119;;;;;;9-10;;;4;4;0,64;1;19;15;60;350;2000;0;0;5;35;30;80;3700;60000;4000;6000
Acorus calamus;;China,Japan;Acoraceae,Acorus;≥15;≥25;;147;;;;;;6-9;;32;2-3;3,6;6,0;1;8;15;60;350;2000;0;0;10;32;30;80;4000;30000;2500;4500
Acorus gramineus 'Variegatus';;China,Japan;Acoraceae,Acorus;≥15;≥25;;147;;;;;;6-9;;32;2-3;3,6;6,0;1;8;15;60;350;2000;0;0;10;32;30;80;4000;30000;2500;4500
Acorus gramineus;;China;Araceae,Acorus;≥10;15-18;;147;;147;;;;5-6;7-8;32;1-2;2,6;6,0;1;8;15;60;350;2000;0;0;10;32;30;80;1500;6000;1200;2500
Actaea cimicifuga;;China;Ranunculaceae,Cimicifuga;≥20;20-30;;62;;;;;;7-9;8-10;;2-3;2,6;6,256;1;19;15;60;350;2000;0;0;8;32;30;80;3700;20000;2000;4000
Actaea racemosa;;China;Ranunculaceae,Actaea;≥20;20-30;;62;;;;;;7-9;8-10;;2-3;2,6;6,256;1;19;15;60;350;2000;0;0;8;32;30;80;3700;20000;2000;4000
Actaea simplex;;China;Ranunculaceae,Actaea;≥20;20-30;;62;;;;;;7-9;8-10;;2-3;2,6;6,256;1;19;15;60;350;2000;0;0;8;32;30;80;3700;20000;2000;4000
Actinidia arguta;;China;Actinidiaceae,Actinidia;≥20;≥30;98,82;;;87;;;;5-6;8-10;;2-3;2,6;6,0;1;8;15;60;350;2000;6.1;7;5;35;30;80;3900;30000;2500;4500
Actinidia chinensis;;China;Actinidiaceae,Actinidia;≥20;≥30;98,82;;;87;;;;5-6;8-10;;2-3;2,6;6,0;1;8;15;60;350;2000;6.1;7;5;35;30;80;3900;30000;2500;4500
Actinidia kolomikta;;China;Actinidiaceae,Actinidia;≥20;≥30;98,82;;;87;;;;5-6;8-10;;2-3;2,6;6,0;1;8;15;60;350;2000;6.1;7;5;35;30;80;3900;30000;2500;4500
Actinidia pilosula;;China;Actinidiaceae,Actinidia;≥20;≥30;98,82;;;87;;;;5-6;8-10;;2-3;2,6;6,0;1;8;15;60;350;2000;6.1;7;5;35;30;80;3900;30000;2500;4500
Adansonia digitata;;Africa;Bombacaceae,Adansonia;≥25;≥40;;144;;;;spring,autumn;;6-10;6-10;;2-4;2,6;7,0;129;6;20;60;120;2000;0;0;0;40;30;80;2000;85000;3000;8900
Adenium obesum;;Africa;Apocynaceae,Adenium;≥10;≥15;;96,59,144;;;;;;5-12;;;4;2,6;6,0;2;8;15;60;350;2000;0;0;8;35;30;80;3000;60000;3500;7000
Adiantum aleuticum;;Tropical and subtropical areas;Adiantaceae,Adiantum;≥10;≥15;56;;;;;;;;;44;1-2;2,6;6,0;1;8;15;60;350;1500;0;0;10;32;40;90;300;4000;400;700
Adiantum capillus veneris;;Tropical,subtropical and polar areas;Pteridaceae,Pteris;≥15;≥25;92;;;;;;;;;46;1-2;2,6;6,0;1;8;15;65;350;1500;0;0;10;32;30;85;400;10000;400;700
Adiantum hispidulum;;Tropical and subtropical areas;Adiantaceae,Adiantum;≥10;≥15;87,50;;;;;;;;;44;1-2;2,6;6,0;1;8;15;60;350;1500;0;0;10;32;40;90;300;4000;400;700
Adiantum pedatum;;Tropical and subtropical areas;Adiantaceae,Adiantum;≥10;≥15;56;;;;;;;;;44;1-2;2,6;6,0;1;8;15;60;350;1500;0;0;10;32;40;90;300;4000;400;700
Adiantum raddianum;;Tropical and subtropical areas;Adiantaceae,Adiantum;≥10;≥15;56;;;;;;;;;44;1-2;2,6;6,0;1;8;15;60;350;1500;0;0;10;32;40;90;300;4000;400;700
Adiantum venustum;;Tropical and subtropical areas;Adiantaceae,Adiantum;≥10;≥15;66;;;;;;;;;44;1-2;2,6;6,0;1;8;15;60;350;1500;0;0;10;32;40;90;300;4000;400;700
Adonis amurensis;;Asia;Ranunculaceae,Adonis;≥10;≥15;;146;;;;;;2-5;5-6;;2-3;3,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;4000;30000;2500;4500
Adromischus cristatus;;South Africa;Crassulaceae,Adromischus;≥10;15-18;26;144;;;;;;;;34;3-4;2,6;6,0;1;8;12;55;50;1500;0;0;5;35;15;80;3500;95000;3200;9000
Adromischus maculatus;;South Africa;Crassulaceae,Adromischus;≥10;15-18;26;144;;;;;;;;34;3-4;2,6;6,0;1;8;12;55;50;1500;0;0;5;35;15;80;3500;95000;3200;9000
Adromischus marianae;;South Africa;Crassulaceae,Adromischus;≥10;15-18;26;144;;;;;;;;34;3-4;2,6;6,0;1;8;12;55;50;1500;0;0;5;35;15;80;3500;95000;3200;9000
Adromischus marianiae 'hallii';;Mexico;Crassulaceae,Adromischus;≥10;15-18;96;;;;;spring,autumn;;;;34;2-4;,6;7,0;1;6;7;50;300;1000;0;0;8;35;15;80;3000;60000;3200;6400
Adromischus poellnitzianus;;South Africa;Crassulaceae,Adromischus;≥10;15-18;26;144;;;;;;;;34;3-4;2,6;6,0;1;8;12;55;50;1500;0;0;5;35;15;80;3500;95000;3200;9000
Aechmea chantinii 'Samuri';;Mexico;Bromeliaceae,Billbergia;≥10;≥15;56;;120;;;spring,autumn;;winter,spring;;;2-3;,6;5,256;1;19;15;60;300;1000;0;0;10;37;30;85;800;27000;2000;4300
Aechmea fasciata;;South Eastern Brazil;Bromeliaceae,Aechmea;≥20;15-20;;42,99;;;;;;5-7;;;2-3;,5;0,64;1;19;15;60;350;2000;0;0;10;32;30;85;3700;20000;2000;4000
Aechmea fendleri;;South Eastern Brazil;Bromeliaceae,Aechmea;≥20;15-20;;99,59;;;;;;5-7;;;2-3;,5;0,64;1;19;15;60;350;2000;0;0;10;32;30;85;3700;20000;2000;4000
Aechmea fulgens;;Mexico;Bromeliaceae,Billbergia;≥10;≥15;;146,45;107;;;spring,autumn;;winter,spring;;;2-3;,6;5,256;1;19;15;60;300;1000;0;0;10;37;30;85;800;27000;2000;4300
Aechmea recurvata;;South Eastern Brazil;Bromeliaceae,Aechmea;≥20;15-20;;99,59;;;;;;5-7;;;2-3;,5;0,64;1;19;15;60;350;2000;0;0;10;32;30;85;3700;20000;2000;4000
Aegopodium podagraria;;Europe,Central Asia;Umbelliferae,Aegopodium;≥10;15-18;;144,140;;;;;;5;;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;10;32;30;80;3500;30000;2500;4500
Aeonium 'Lily Pad';;Atlantic Ocean region;Crassulaceae,Aeonium;6-10;5-15;84,120;112;;;;spring,autumn;;;;34;2-4;,6;7,0;1;18;10;58;50;1500;0;0;5;35;15;80;3500;75000;3500;8900
Aeonium arboreum 'Atropureum';;Africa;Crassulaceae,Aeonium;6-10;≥10;29,56;146;;;;spring,autumn,winter;;;;34;2-4;,6;7,0;1;18;7;50;300;1000;0;0;6;35;15;80;2800;80000;2700;6700
Aeonium arboreum;;Mediterranean region;Crassulaceae,Aeonium;≥5;≥5;56,120;107;;;;spring,autumn;;;;34;2-3;2,6;7,0;1;18;7;50;300;1000;0;0;5;35;15;80;3000;80000;4500;8600
Aeonium canariense;;North Africa,The Canary Islands;Crassulaceae,Aeonium;≥10;≥15;56,120;;;;;;;;;34;4;2,6;6,0;1;19;7;50;300;1000;0;0;5;35;15;80;4000;60000;4000;6000
Aeonium decorum 'Variegata';;Atlantic Ocean region;Crassulaceae,Aeonium;6-10;5-15;82,120;112;;;;spring,autumn;;;;34;2-4;,6;7,0;1;18;7;50;300;1000;0;0;6;35;15;80;3800;85000;4000;8700
Aeonium haworthii;;Africa;Crassulaceae,Aeonium;≥5;5-20;147,120;;;;;;;;;34;2-4;1;7,0;65;18;7;50;300;1000;0;0;8;35;15;80;3700;60000;4000;6000
Aeonium sedifolium;;Africa;Crassulaceae,Aeonium;≥3;≥5;56,120;146;;;;spring,autumn;;;;34;2-3;2,6;8,0;1;18;7;50;300;1000;0;0;5;35;15;80;3200;80000;5000;7000
Aeonium urbicum;;Mediterranean region;Crassulaceae,Aeonium;≥5;≥5;56,120;107;;;;spring,autumn;;;;34;2-3;2,6;7,0;1;18;7;50;300;1000;0;0;5;35;15;80;3000;80000;4500;8600
Aeschynanthus lobbianus;;Java,Malay Peninsula,Borneo;Gesneriaceae,Aeschynanthus;≥10;≥15;56;120;;;;;;summer;;;2-3;2,6;6,0;32;8;15;60;350;2000;6.1;7;10;32;30;80;1800;20000;2000;4300
Aeschynanthus pulcher 'Black Pagoda';;Java,Malay Peninsula,Borneo;Gesneriaceae,Aeschynanthus;≥10;≥15;;120;;;;;;summer;;;2-3;2,6;6,0;32;8;15;60;350;2000;6.1;7;10;32;30;80;1800;20000;2000;4300
Aeschynanthus pulcher;;Mexico;Crassulaceae,Echeveria;≥3;≥5;110,120;107;;;;spring,autumn;;;;34;3-4;,6;7,0;1;18;7;50;300;1000;0;0;5;35;15;80;3700;80000;5000;7000
Aesculus chinensis;;China;Hippocsatanaceae,Aesculus;≥20;15-20;;144,82;;53;;;;4-5;10;;4;4;0,64;1;19;15;60;350;2000;0;0;10;35;30;80;3700;30000;2500;4500
Aesculus hippocastanum;;Europe;Hippocsatanaceae,Aesculus;≥20;15-20;;144,146;;12;;;;4-5;10;;4;4;0,64;1;19;15;60;350;2000;0;0;10;35;30;80;3700;30000;2500;4500
Aesculus indica;;North America;Hippocsatanaceae,Aesculus;≥20;15-20;;144,146,59;;;;;;4-5;10;;4;4;0,64;1;19;15;60;350;2000;0;0;10;35;30;80;3700;30000;2500;4500
Aesculus pavia;;Eastern United States;Hippocsatanaceae,Aesculus;≥20;15-20;;144,146;;120;;;;4-5;10;;4;4;0,64;1;19;15;60;350;2000;0;0;10;35;30;80;3700;30000;2500;4500
Aesculus turbinata;;Japan;Hippocsatanaceae,Aesculus;≥20;15-20;;144,82;;87;;;;4-5;10;;4;4;0,64;1;19;15;60;350;2000;0;0;10;35;30;80;3700;30000;2500;4500
Aesculus × carnea;;Balkan Peninsula;Hippocsatanaceae,Aesculus;≥20;15-20;;120;;46;;;;4-5;10;;4;4;0,64;1;19;15;60;350;2000;0;0;10;35;30;80;3700;30000;2500;4500
Agapanthus 'Black Buddhist';;South Africa;Amaryllidaceae,Agapanthus;;≥60;;119;;;;;;7-8;;;3-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;3700;50000;3500;5000
Agapanthus 'Dr Brouwer';;South Africa;Amaryllidaceae,Agapanthus;;≥60;;119;;;;;;7-8;;;3-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;3700;50000;3500;5000
Agapanthus africanus 'Albus';;South Africa;Amaryllidaceae,Agapanthus;;≥60;;144;;;;;;7-8;;;3-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;3700;50000;3500;5000
Agapanthus africanus 'Sunfield';;South Africa;Amaryllidaceae,Agapanthus;;≥60;;119;;;;;;7-8;;;3-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;3700;50000;3500;5000
Agapanthus africanus;;South Africa;Amaryllidaceae,Agapanthus;;≥60;;22,144;;;;;;7-8;;;3-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;3700;50000;3500;5000
Agapanthus praecox;;South Africa;Amaryllidaceae,Agapanthus;;≥60;;22,144;;;;;;7-8;;;3-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;3700;50000;3500;5000
Agastache cana;;Mediterranean region;Labiatae,Hyssopus;≥10;15-18;;119,59,144;;;;;;6-8;;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;3500;50000;3500;5000
Agastache foeniculum;;China;Labiatae,Agastache;≥10;≥15;;90;;;;spring,autumn;;6-9;;;3;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Agastache mexicana;;China;Labiatae,Agastache;≥10;≥15;;96;;;;spring,autumn;;6-9;;;3;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Agastache rugosa;;China;Labiatae,Agastache;≥10;≥15;;90;;;;spring,autumn;;6-9;;;3;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Agastache rupestris;;China;Labiatae,Agastache;≥10;≥15;;90;;;;spring,autumn;;6-9;;;3;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Agastache ×;;China;Labiatae,Agastache;≥10;≥15;;90;;;;spring,autumn;;6-9;;;3;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Agave americana 'marginata';;Americas;Agavaceae,Agave;≥10;≥15;56,146;147;;;;spring,autumn;;;;34;2-4;2,6;7,0;1;19;7;50;300;1000;3.7;5.2;7;35;15;80;3500;75000;3200;7000
Agave americana;;Americas;Agavaceae,Agave;≥10;≥15;56,146;147;;;;spring,autumn;;;;34;2-4;2,6;7,0;1;19;7;50;300;1000;3.7;5.2;7;35;15;80;3500;75000;3200;7000
Agave attenuata;;Americas;Agavaceae,Agave;≥10;≥15;56;147;;;;spring,autumn;;;;34;2-4;2,6;7,0;1;19;7;50;300;1000;3.7;5.2;7;35;15;80;3500;75000;3200;7000
Agave filifera;;Mexico,United States;Agavaceae,Agave;≥15;≥25;92;;;;;;;;;34;4;2,6;6,0;1;8;7;50;300;1000;0;0;5;35;15;80;4000;60000;4000;6000
Agave macroacantha;;Americas;Agavaceae,Agave;≥10;≥15;56,146;147;;;;spring,autumn;;;;34;2-4;2,6;7,0;1;19;7;50;300;1000;3.7;5.2;7;35;15;80;3500;75000;3200;7000
Agave parviflora;;Mexico,Southwestern United States;Agavaceae,Agave;≥10;15-18;;146,147;;;;;;;;34;4;4;1,0;1;6;15;60;350;2000;0;0;8;35;30;85;3700;30000;2500;4500
Agave potatorum;;Mexico;Agavaceae,Agave;≥10;≥15;;;;;;;;;;34;4;2,6;6,0;1;19;7;50;300;1000;0;0;8;35;15;80;4000;60000;4000;6000
Agave sisalana;;Mexico;Agavaceae,Agave;;25-30;;146,98;;;;;;5-7;8-9;;2-4;2,6;7,0;256;6;15;60;350;2000;0;0;8;35;30;80;3700;60000;4000;6000
Agave stricta;;Americas;Agavaceae,Agave;≥10;≥15;56,146;147;;;;spring,autumn;;;;34;2-4;2,6;7,0;1;19;7;50;300;1000;3.7;5.2;7;35;15;80;3500;75000;3200;7000
Agave univittata;;Americas;Agavaceae,Agave;≥10;≥15;56,146;147;;;;spring,autumn;;;;34;2-4;2,6;7,0;1;19;7;50;300;1000;3.7;5.2;7;35;15;80;3500;75000;3200;7000
Ageratum houstonianum;;Mexico;Compositae,Ageratum;≥10;≥15;;90;;8;;;;;;;3-4;2,6;6,0;2;19;15;60;350;2000;0;0;8;32;30;80;3500;50000;3500;5000
Ageratum spp;;South Central America;Compositae,Ageratum;≥10;15-50;;45,119,144;;;;;;6-9;;;2-4;2,6;6,0;1;19;15;60;350;2000;0;0;10;32;30;80;3700;30000;2500;4500
